"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"531","PEKERJA PERAWATAN ANAK DAN ASISTEN PENGAJAR","772","20"
"5311","PEKERJA PERAWATAN ANAK","772","20"
"5312","ASISTEN PENGAJAR","774","20"
"532","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN","775","20"
"5321","ASISTEN PERAWATAN KESEHATAN","776","20"
"5322","PEKERJA PERAWATAN PRIBADI DI RUMAH","778","20"
"5329","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN YTDL","781","20"
"54","TENAGA USAHA JASA PERLINDUNGAN","783","20"
"541","TENAGA USAHA JASA PERLINDUNGAN","783","21"
"5411","PETUGAS PEMADAM KEBAKARAN","784","21"
"5413","PENJAGA LEMBAGA PEMASYARAKATAN","785","21"
"5414","PENJAGA KEAMANAN","786","21"
"5419","TENAGA USAHA JASA PERLINDUNGAN YTDL","788","21"
"6","PEKERJA TERAMPIL PERTANIAN, KEHUTANAN, DAN PERIKANAN","793","21"
"61","PEKERJA TERAMPIL PERTANIAN BERORIENTASI PASAR","793","21"
"611","PEKERJA PERTANIAN DAN PERKEBUNAN","794","21"
"6111","PEKERJA PERTANIAN TANAMAN PANGAN DAN TANAMAN SEMUSIM","794","21"
"6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK","797","21"
"6113","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN","800","21"
"6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)","802","21"
"612","PEKERJA PETERNAKAN","803","21"
"6121","PEKERJA PETERNAKAN HEWAN BESAR DAN KECIL SERTA PENGHASIL SUSU","804","21"
