"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"816","True","True","1009","1"
"817","True","True","1013","1"
"818","True","True","1017","1"
"821","True","True","1025","1"
"831","True","True","1034","1"
"832","True","True","1037","1"
"833","True","True","1040","1"
"834","True","True","1043","1"
"835","True","True","1052","1"
"911","True","True","1058","1"
"912","True","True","1061","1"
"921","True","True","1066","1"
"931","True","True","1076","1"
"932","True","True","1080","1"
"933","True","True","1084","1"
"941","True","True","1089","1"
"951","True","True","1094","1"
"952","True","True","1096","1"
"961","True","True","1098","1"
"962","True","True","1101","1"
"0111","True","True","105","1"
"0112","True","True","116","1"
"0113","True","True","125","1"
"0114","True","True","133","1"
"0115","True","True","143","1"
"0211","True","True","151","1"
"0212","True","True","152","1"
"0213","True","True","153","1"
"0214","True","True","153","1"
"0215","True","True","154","1"
"0311","True","True","155","1"
"0312","True","True","156","1"
"0313","True","True","156","1"
"0314","True","True","157","1"
"0315","True","True","158","1"
"1111","True","True","163","1"
"1112","True","True","167","1"
"1113","True","True","171","1"
"1114","True","True","173","1"
"1120","True","True","174","1"
"1211","True","True","179","1"
"1212","True","True","181","1"
"1213","True","True","183","1"
"1219","True","True","186","1"
"1221","True","True","189","1"
"1222","True","True","191","1"
"1223","True","True","193","1"
"1311","True","True","197","1"
"1312","True","True","204","1"
"1321","True","True","206","1"
"1322","True","True","209","1"
"1323","True","True","211","1"
"1324","True","True","212","1"
"1330","True","True","217","1"
"1341","True","True","222","1"
"1342","True","True","223","1"
"1343","True","True","226","1"
"1344","True","True","229","1"
"1345","True","True","232","1"
"1346","True","True","237","1"
"1349","True","True","240","1"
"1411","True","True","245","1"
"1412","True","True","247","1"
"1420","True","True","250","1"
"1431","True","True","252","1"
"1439","True","True","255","1"
"2111","True","True","265","1"
"2112","True","True","269","1"
"2113","True","True","271","1"
"2114","True","True","274","1"
"2120","True","True","278","1"
"2131","True","True","282","1"
"2132","True","True","288","1"
"2133","True","True","292","1"
"2141","True","True","299","1"
"2142","True","True","301","1"
"2143","True","True","305","1"
"2144","True","True","307","1"
"2145","True","True","311","1"
"2146","True","True","312","1"
"2149","True","True","316","1"
"2151","True","True","322","1"
"2152","True","True","323","1"
"2153","True","True","325","1"
"2161","True","True","328","1"
"2162","True","True","329","1"
"2163","True","True","331","1"
"2164","True","True","334","1"
"2165","True","True","336","1"
"2166","True","True","340","1"
"2211","True","True","345","1"
"2212","True","True","347","1"
"2221","True","True","356","1"
"2222","True","True","360","1"
"2230","True","True","362","1"
"2240","True","True","366","1"
"2250","True","True","369","1"
"2261","True","True","372","1"
"2262","True","True","376","1"
"2263","True","True","377","1"
"2264","True","True","381","1"
"2265","True","True","383","1"
"2266","True","True","385","1"
"2267","True","True","387","1"
"2269","True","True","388","1"
"2310","True","True","391","1"
"2320","True","True","396","1"
"2330","True","True","398","1"
"2341","True","True","400","1"
"2342","True","True","401","1"
"2351","True","True","404","1"
"2352","True","True","406","1"
"2353","True","True","407","1"
"2354","True","True","408","1"
"2355","True","True","410","1"
"2356","True","True","412","1"
"2359","True","True","413","1"
"2411","True","True","416","1"
"2412","True","True","419","1"
"2413","True","True","420","1"
"2421","True","True","421","1"
"2422","True","True","423","1"
"2423","True","True","424","1"
"2424","True","True","427","1"
"2431","True","True","429","1"
"2432","True","True","431","1"
"2433","True","True","432","1"
"2434","True","True","434","1"
"2511","True","True","436","1"
"2512","True","True","438","1"
"2513","True","True","440","1"
"2514","True","True","444","1"
"2515","True","True","444","1"
"2519","True","True","446","1"
"2521","True","True","448","1"
"2522","True","True","450","1"
"2523","True","True","451","1"
"2529","True","True","453","1"
"2611","True","True","456","1"
"2612","True","True","459","1"
"2619","True","True","461","1"
"2621","True","True","462","1"
"2622","True","True","464","1"
"2631","True","True","466","1"
"2632","True","True","469","1"
"2633","True","True","471","1"
"2634","True","True","473","1"
"2635","True","True","476","1"
"2636","True","True","481","1"
"2641","True","True","483","1"
"2642","True","True","487","1"
"2643","True","True","491","1"
"2651","True","True","493","1"
"2652","True","True","496","1"
"2653","True","True","498","1"
"2654","True","True","499","1"
"2655","True","True","503","1"
"2656","True","True","504","1"
"2659","True","True","506","1"
"3111","True","True","512","1"
"3112","True","True","515","1"
"3113","True","True","523","1"
"3114","True","True","525","1"
"3115","True","True","526","1"
"3116","True","True","530","1"
"3117","True","True","531","1"
"3118","True","True","534","1"
"3119","True","True","536","1"
"3121","True","True","540","1"
"3122","True","True","541","1"
"3123","True","True","544","1"
"3131","True","True","546","1"
"3132","True","True","551","1"
"3133","True","True","556","1"
"3134","True","True","559","1"
"3135","True","True","561","1"
"3139","True","True","563","1"
"3141","True","True","564","1"
"3142","True","True","568","1"
"3143","True","True","571","1"
"3151","True","True","574","1"
"3152","True","True","575","1"
"3153","True","True","576","1"
"3154","True","True","580","1"
"3155","True","True","581","1"
"3211","True","True","583","1"
"3212","True","True","587","1"
"3213","True","True","589","1"
"3214","True","True","591","1"
"3221","True","True","594","1"
"3222","True","True","597","1"
"3230","True","True","600","1"
"3240","True","True","603","1"
"3251","True","True","607","1"
"3252","True","True","609","1"
"3253","True","True","610","1"
"3254","True","True","612","1"
"3255","True","True","614","1"
"3256","True","True","618","1"
"3257","True","True","620","1"
"3258","True","True","622","1"
"3259","True","True","624","1"
"3311","True","True","627","1"
"3312","True","True","629","1"
"3313","True","True","630","1"
"3314","True","True","631","1"
"3315","True","True","633","1"
"3321","True","True","635","1"
"3322","True","True","636","1"
"3323","True","True","639","1"
"3324","True","True","641","1"
"3331","True","True","643","1"
"3332","True","True","645","1"
"3333","True","True","646","1"
"3334","True","True","648","1"
"3339","True","True","650","1"
"3341","True","True","653","1"
"3342","True","True","655","1"
"3343","True","True","657","1"
"3344","True","True","660","1"
"3351","True","True","663","1"
"3352","True","True","666","1"
"3353","True","True","667","1"
"3354","True","True","668","1"
"3359","True","True","669","1"
"3411","True","True","673","1"
"3412","True","True","676","1"
"3413","True","True","678","1"
"3421","True","True","681","1"
"3422","True","True","682","1"
"3423","True","True","685","1"
"3431","True","True","688","1"
"3432","True","True","690","1"
"3433","True","True","692","1"
"3434","True","True","694","1"
"3435","True","True","695","1"
"3511","True","True","703","1"
"3512","True","True","705","1"
"3513","True","True","706","1"
"3514","True","True","707","1"
"3521","True","True","709","1"
"3522","True","True","712","1"
"4110","True","True","718","1"
"4120","True","True","719","1"
"4131","True","True","720","1"
"4132","True","True","722","1"
"4211","True","True","724","1"
"4212","True","True","725","1"
"4213","True","True","726","1"
"4219","True","True","727","1"
"4221","True","True","728","1"
"4222","True","True","730","1"
"4223","True","True","731","1"
"4224","True","True","732","1"
"4225","True","True","733","1"
"4226","True","True","734","1"
"4227","True","True","735","1"
"4229","True","True","736","1"
"4311","True","True","738","1"
"4312","True","True","739","1"
"4313","True","True","742","1"
"4321","True","True","743","1"
"4322","True","True","745","1"
"4323","True","True","746","1"
"4411","True","True","748","1"
"4412","True","True","749","1"
"4413","True","True","750","1"
"4414","True","True","751","1"
"4415","True","True","752","1"
"4416","True","True","753","1"
"4419","True","True","754","1"
"5111","True","True","760","1"
"5112","True","True","762","1"
"5113","True","True","763","1"
"5120","True","True","766","1"
"5131","True","True","767","1"
"5132","True","True","768","1"
"5141","True","True","769","1"
"5142","True","True","770","1"
"5151","True","True","772","1"
"5152","True","True","774","1"
"5153","True","True","775","1"
"5161","True","True","777","1"
"5162","True","True","779","1"
"5163","True","True","780","1"
"5164","True","True","781","1"
"5165","True","True","783","1"
"5169","True","True","784","1"
"5211","True","True","786","1"
"5212","True","True","788","1"
"5221","True","True","789","1"
"5222","True","True","790","1"
"5223","True","True","792","1"
"5230","True","True","794","1"
"5241","True","True","796","1"
"5242","True","True","797","1"
"5243","True","True","798","1"
